pressing_q,pathway_q,roadblock_q,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
T,F,F,S4Y2XQVV,journalArticle,2019,"Abney, Rebecca B.; Kuhn, Timothy J.; Chow, Alex; Hockaday, William; Fogel, Marilyn L.; Berhe, Asmeret Asefaw","Pyrogenic carbon erosion after the Rim Fire, Yosemite National Park: The Role of Burn Severity and Slope",Journal of Geophysical Research: Biogeosciences,,2169-8961,10.1029/2018JG004787,https://onlinelibrary.wiley.com/doi/abs/10.1029/2018JG004787,"Pyrogenic carbon (PyC) is an incomplete combustion by-product with longer soil residence times compared with nonpyrogenic components of the soil carbon (C) pool and can be preferentially eroded in fire-affected landscapes. To investigate geomorphic and fire-related controls on PyC erosion, sediment fences were established in three combinations of slope (high 13.9–37.3%; moderate 0–6.7%) and burn severity (high; moderate) plots within the perimeter of the Rim Fire in 2013, Yosemite National Park, California, USA. After each major precipitation event following the fire, we determined transport rates of total sediment, fine and coarse sediment fractions, and C and nitrogen (N). We measured stable isotope (δ13C and δ15N) compositions and 13C-nuclear magnetic resonance spectra of soils and eroded sediments. The highest total and fine (<2 mm) sediment transport in high severity burned areas correlated with initial discharge peaks from an adjacent stream, while moderate burn severity sites had considerably more of the >2 mm fraction transported than high burn severity sites. The δ13C and δ15N values and 13C-nuclear magnetic resonance analyses indicated that sediment eroded from moderate severity burn areas included fresh organic matter that was not as significantly affected by the fire, whereas sediments from high severity burn areas were preferentially enriched in PyC. Our results indicate that along a single hillslope after the Rim Fire, burn severity acted as a primary control on PyC transport postfire, with slope angle likely playing a secondary role. The preferential erosion of PyC has major implications for the long-term persistence of PyC within the soil system.",2019,4/13/23 20:21,4/13/23 20:21,4/13/23 20:21,432-449,,2,124,,,"Pyrogenic carbon erosion after the Rim Fire, Yosemite National Park",,,,,,,en,,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1029/2018JG004787,,"C:\Users\guer310\Zotero\storage\XD9FGIJA\Abney et al. - 2019 - Pyrogenic carbon erosion after the Rim Fire, Yosem.pdf; C:\Users\guer310\Zotero\storage\CQLFRMGN\2018JG004787.html",,,wildfire; black carbon; sediment; organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,F,F,C69QM6TS,journalArticle,2021,"Ackley, Caren; Tank, Suzanne E.; Haynes, Kristine M.; Rezanezhad, Fereidoun; McCarter, Colin; Quinton, William L.",Coupled hydrological and geochemical impacts of wildfire in peatland-dominated regions of discontinuous permafrost,Science of The Total Environment,,0048-9697,10.1016/j.scitotenv.2021.146841,https://www.sciencedirect.com/science/article/pii/S0048969721019112,"Naturally-ignited wildfires are increasing in frequency and severity in northern regions, contributing to rapid permafrost thaw-induced landscape change driven by climate warming. Low-severity wildfires typically result in minor organic matter loss. The impacts of such fires on the hydrological and geochemical dynamics of peat plateau-wetland complexes have not been examined. In 2014, a low-severity wildfire, with minimal ground surface damage, burned approximately one-half of a 5 ha permafrost plateau in the wetland-dominated landscape of the Scotty Creek watershed, Northwest Territories, Canada, in the discontinuous permafrost zone. In March 2016, hydrometeorological and permafrost conditions on the burned and unaffected plateaus were monitored including snowpack characteristics and surface energy dynamics. Pore water samples were collected from the saturated layer as thaw progressed throughout the growing season on the burned and unaffected plateaus. Repeated probing of the frost table depth was coupled with laboratory analyses of peat physical and hydraulic characteristics performed on peat cores collected from the top 20 cm of the ground surface in the burned and unaffected plots. The higher transmissivity of the burned forest canopy accelerated snowmelt promoting earlier onset of the thawing season and increased the ground heat flux to melt ground ice. Wildfire increased the thickness of the supra-permafrost layer, including the active layer and talik, resulting in a more uniform subsurface with limited depressional storage capacity and reduced preferential runoff flowpaths across the burned plateau. The incorporation of ash and char into the peat matrix reduced pore diameters, promoting greater subsurface soil moisture retention and longer pore water residence times ultimately providing greater opportunity for soil-water interaction and biogeochemical reactions. Consequently, pore water showed elevated dissolved solutes, dissolved organic matter and mercury concentrations in the burned site. Low-severity wildfires have the potential to trigger a series of complex, inter-related hydrological, thermal and biogeochemical processes and feedbacks.",8/15/21,4/13/23 20:24,4/13/23 20:24,4/13/23 20:24,146841,,,782,,Science of The Total Environment,,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\guer310\Zotero\storage\GJTQUG9N\Ackley et al. - 2021 - Coupled hydrological and geochemical impacts of wi.pdf; C:\Users\guer310\Zotero\storage\PEMW2K4P\S0048969721019112.html,,,Ash translocation; Ground thaw; Peat hydraulics; Residence time; Snowmelt; Subarctic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,F,T,A2TRZQCB,journalArticle,2016,"Allison, Robert S.; Johnston, Joshua M.; Craig, Gregory; Jennings, Sion",Airborne Optical and Thermal Remote Sensing for Wildfire Detection and Monitoring,Sensors,,1424-8220,10.3390/s16081310,https://www.mdpi.com/1424-8220/16/8/1310,"For decades detection and monitoring of forest and other wildland fires has relied heavily on aircraft (and satellites). Technical advances and improved affordability of both sensors and sensor platforms promise to revolutionize the way aircraft detect, monitor and help suppress wildfires. Sensor systems like hyperspectral cameras, image intensifiers and thermal cameras that have previously been limited in use due to cost or technology considerations are now becoming widely available and affordable. Similarly, new airborne sensor platforms, particularly small, unmanned aircraft or drones, are enabling new applications for airborne fire sensing. In this review we outline the state of the art in direct, semi-automated and automated fire detection from both manned and unmanned aerial platforms. We discuss the operational constraints and opportunities provided by these sensor systems including a discussion of the objective evaluation of these systems in a realistic context.",2016-08,4/13/23 21:01,4/13/23 21:01,4/13/23 21:01,1310,,8,16,,,,,,,,,,en,http://creativecommons.org/licenses/by/3.0/,,,,www.mdpi.com,,Number: 8 Publisher: Multidisciplinary Digital Publishing Institute,,C:\Users\guer310\Zotero\storage\X63DUXFU\Allison et al. - 2016 - Airborne Optical and Thermal Remote Sensing for Wi.pdf,,,wildfire; airborne sensors; detection patrols; fire detection; fire monitoring; fire spotting; unmanned aerial vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,F,F,U7BYHTUZ,journalArticle,2020,"Anderegg, William R. L.; Trugman, Anna T.; Badgley, Grayson; Anderson, Christa M.; Bartuska, Ann; Ciais, Philippe; Cullenward, Danny; Field, Christopher B.; Freeman, Jeremy; Goetz, Scott J.; Hicke, Jeffrey A.; Huntzinger, Deborah; Jackson, Robert B.; Nickerson, John; Pacala, Stephen; Randerson, James T.",Climate-driven risks to the climate mitigation potential of forests,Science,,,10.1126/science.aaz7005,https://www.science.org/doi/full/10.1126/science.aaz7005,"Forests have considerable potential to help mitigate human-caused climate change and provide society with many cobenefits. However, climate-driven risks may fundamentally compromise forest carbon sinks in the 21st century. Here, we synthesize the current understanding of climate-driven risks to forest stability from fire, drought, biotic agents, and other disturbances. We review how efforts to use forests as natural climate solutions presently consider and could more fully embrace current scientific knowledge to account for these climate-driven risks. Recent advances in vegetation physiology, disturbance ecology, mechanistic vegetation modeling, large-scale ecological observation networks, and remote sensing are improving current estimates and forecasts of the risks to forest stability. A more holistic understanding and quantification of such risks will help policy-makers and other stakeholders effectively use forests as natural climate solutions.",6/19/20,12/1/22 2:12,12/1/22 2:12,12/1/22 2:12,eaaz7005,,6497,368,,,,,,,,,,,,,,,science.org (Atypon),,Publisher: American Association for the Advancement of Science,,C:\Users\guer310\Zotero\storage\JHYHYB9X\Anderegg et al. - 2020 - Climate-driven risks to the climate mitigation pot.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,F,F,2XNECUTG,journalArticle,2022,"Anderegg, William R. L.; Wu, Chao; Acil, Nezha; Carvalhais, Nuno; Pugh, Thomas A. M.; Sadler, Jon P.; Seidl, Rupert",A climate risk analysis of Earth’s forests in the 21st century,Science,,,10.1126/science.abp9723,https://www.science.org/doi/full/10.1126/science.abp9723,"Earth’s forests harbor extensive biodiversity and are currently a major carbon sink. Forest conservation and restoration can help mitigate climate change; however, climate change could fundamentally imperil forests in many regions and undermine their ability to provide such mitigation. The extent of climate risks facing forests has not been synthesized globally nor have different approaches to quantifying forest climate risks been systematically compared. We combine outputs from multiple mechanistic and empirical approaches to modeling carbon, biodiversity, and disturbance risks to conduct a synthetic climate risk analysis for Earth’s forests in the 21st century. Despite large uncertainty in most regions we find that some forests are consistently at higher risk, including southern boreal forests and those in western North America and parts of the Amazon.",9/2/22,12/1/22 2:11,12/1/22 2:11,12/1/22 2:11,1099-1103,,6610,377,,,,,,,,,,,,,,,science.org (Atypon),,Publisher: American Association for the Advancement of Science,,C:\Users\guer310\Zotero\storage\8B9FFZQF\Anderegg et al. - 2022 - A climate risk analysis of Earth’s forests in the .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,T,T,T3UNBZ9Q,journalArticle,2008,"Anderson, Suzanne; Bales, R.; Duffy, Christopher",Critical Zone Observatories: Building a network to advance interdisciplinary study of Earth surface processes,Mineralogical Magazine - MINER MAG,,,10.1180/minmag.2008.072.1.7,,"We live at the dynamic interface between the solid Earth and its outer fluid envelopes. This interface, extending from the outer vegetation canopy to the base of active groundwater, was recently named the Critical Zone because it supports life and is increasingly impacted by human actions. Understanding the complex interactions between processes that operate in and shape the Critical Zone requires interdisciplinary approaches that span wide spatial and temporal scales. Tectonic processes, weathering, fluid transport, and biological processes control the function and structure of the Critical Zone. Three Critical Zone Observatories recently established by the U.S. National Science Foundation are designed to integrate studies of process interactions up to the watershed scale. A goal of the program is to build the three independently conceived observatories into a network from which broader understanding À larger spatial scales but also deeper insight À can emerge.",2/1/08,4/14/23 3:28,4/14/23 3:28,,,,,72,,Mineralogical Magazine - MINER MAG,Critical Zone Observatories,,,,,,,,,,,,ResearchGate,,,,C:\Users\guer310\Zotero\storage\D4GF9S8Y\Anderson et al. - 2008 - Critical Zone Observatories Building a network to.pdf; ,https://www.researchgate.net/publication/228901390_Critical_Zone_Observatories_Building_a_network_to_advance_interdisciplinary_study_of_Earth_surface_processes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,F,F,KFFQAPHI,journalArticle,2008,"Battin, Tom J.; Kaplan, Louis A.; Findlay, Stuart; Hopkinson, Charles S.; Marti, Eugenia; Packman, Aaron I.; Newbold, J. Denis; Sabater, Francesc",Biophysical controls on organic carbon fluxes in fluvial networks,Nature Geoscience,,17520894,10.1038/ngeo101,https://www.proquest.com/docview/1030086784/abstract/94CCCD3F0A844055PQ/1,"Metabolism of terrestrial organic carbon in freshwater ecosystems is responsible for a large amount of carbon dioxide outgassing to the atmosphere, in contradiction to the conventional wisdom that terrestrial organic carbon is recalcitrant and contributes little to the support of aquatic metabolism. Here, we combine recent findings from geophysics, microbial ecology and organic geochemistry to show geophysical opportunity and microbial capacity to enhance the net heterotrophy in streams, rivers and estuaries. We identify hydrological storage and retention zones that extend the residence time of organic carbon during downstream transport as geophysical opportunities for microorganisms to develop as attached biofilms or suspended aggregates, and to metabolize organic carbon for energy and growth. We consider fluvial networks as meta-ecosystems to include the acclimation of microbial communities in downstream ecosystems that enable them to exploit energy that escapes from upstream ecosystems, thereby increasing the overall energy utilization at the network level.",2008-02,4/14/23 3:40,4/14/23 3:40,4/14/23 3:40,95-100,,2,1,,,,,,,,,,English,Copyright Nature Publishing Group Feb 2008,,,,ProQuest,,"Num Pages: 7 Place: London, United States Publisher: Nature Publishing Group",,C:\Users\guer310\Zotero\storage\CM2ZKCI7\Battin et al. - 2008 - Biophysical controls on organic carbon fluxes in f.pdf,,,Earth Sciences--Geology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,T,F,LEDJ57AI,book,2013,"Belcher, Claire M.",Fire Phenomena and the Earth System: An Interdisciplinary Guide to Fire Science,,978-1-118-52956-0,,,,"Fire plays a key role in Earth system processes. Wildfires influence the carbon cycle and the nutrient balance of our planet, and may even play a role in regulating the oxygen content of our atmosphere. The evolutionary history of plants has been intimately tied to fire and this in part explains the distribution of our ecosystems and their ability to withstand the effects of natural fires today. Fire Phenomena and the Earth System brings together the various subdisciplines within fire science to provide a synthesis of our understanding of the role of wildfire in the Earth system. The book shows how knowledge of fire phenomena and the nature of combustion of natural fuels can be used to understand modern wildfires, interpret fire events in the geological record and to understand the role of fire in a variety of Earth system processes. By bringing together chapters written by leading international researchers from a range of geological, environmental, chemical and engineering disciplines, the book will stimulate the exchange of ideas and knowledge across these subject areas. Fire Phenomena and the Earth System provides a truly interdisciplinary guide that can inform us about Earth’s past, present and beyond. Readership: Advanced students and researchers across a wide range of earth, environmental and life sciences, including biogeochemistry, paleoclimatology, atmospheric science, palaeontology and paleoecology, combustion science, ecology and forestry.",4/8/13,4/12/23 20:55,4/12/23 20:55,,,518,,,,,Fire Phenomena and the Earth System,,,,,John Wiley & Sons,,en,,,,,Google Books,,Google-Books-ID: G2RaPI1hh_IC,,,https://books.google.com/books?id=G2RaPI1hh_IC,,Science / Earth Sciences / General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,F,F,LPUIVQCU,journalArticle,2009,"Betts, Emma F.; Jones, Jeremy B.",Impact of Wildfire on Stream Nutrient Chemistry and Ecosystem Metabolism in Boreal Forest Catchments of Interior Alaska,"Arctic, Antarctic, and Alpine Research",,1523-0430,10.1657/1938-4246-41.4.407,https://doi.org/10.1657/1938-4246-41.4.407,"With climatic warming, wildfire occurrence is increasing in the boreal forest of interior Alaska. Loss of catchment vegetation during fire can impact streams directly through altered solute and debris inputs and changed light and temperature regimes. Over longer time scales, fire can accelerate permafrost degradation, altering catchment hydrology and stream nutrient dynamics. In 2004, the 217,000 ha Boundary Fire burned 65% of an established study site in the Caribou-Poker Creeks Research Watershed. We used this opportunity to investigate the impact of wildfire on stream chemistry and metabolism in boreal forest catchments. Wildfire impacts on chemistry were evaluated by examining solute chemistry in four catchments from 2002 to 2007. Ecosystem metabolism was measured over the summer of 2005 in one burned and two unburned catchments. Wildfire led to stream nitrate concentration increasing up to threefold, whereas dissolved organic carbon (DOC) and dissolved organic nitrogen concentrations decreased post-fire. Average stream gross primary production in the burned catchment was double that of the unburned sites (2.4 and 1.2 g O2 m−2 day−1, respectively). Respiration rate was also elevated in the burned stream (6.6 g O2 m−2 day−1) compared with the control streams (1.2 and 4.5 g O2 m−2 day−1). Climatic warming has the potential to impact boreal forest streams through permafrost thaw and increased fire frequency, leading to altered solute inputs and production and respiration rates.",11/1/09,4/12/23 20:40,4/12/23 20:40,4/12/23 20:40,407-417,,4,41,,,,,,,,,,,,,,,Taylor and Francis+NEJM,,Publisher: Taylor & Francis _eprint: https://doi.org/10.1657/1938-4246-41.4.407,,C:\Users\guer310\Zotero\storage\UQQ25PWP\Betts and Jones - 2009 - Impact of Wildfire on Stream Nutrient Chemistry an.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shold be two Bird papers here: Bird et al. 2017 Loss and gain of carbon during char degradation. Soil Biology and Biochemistry, Bird et al. 2015 The pyrogenic carbon cycle. Annual Review of Earth and Planetary Sciences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
