"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YQ8B4WSF","journalArticle","2022","Shuman, Jacquelyn K; Balch, Jennifer K; Barnes, Rebecca T; Higuera, Philip E; Roos, Christopher I; Schwilk, Dylan W; Stavros, E Natasha; Banerjee, Tirtha; Bela, Megan M; Bendix, Jacob; Bertolino, Sandro; Bililign, Solomon; Bladon, Kevin D; Brando, Paulo; Breidenthal, Robert E; Buma, Brian; Calhoun, Donna; Carvalho, Leila M V; Cattau, Megan E; Cawley, Kaelin M; Chandra, Sudeep; Chipman, Melissa L; Cobian-Iñiguez, Jeanette; Conlisk, Erin; Coop, Jonathan D; Cullen, Alison; Davis, Kimberley T; Dayalu, Archana; De Sales, Fernando; Dolman, Megan; Ellsworth, Lisa M; Franklin, Scott; Guiterman, Christopher H; Hamilton, Matthew; Hanan, Erin J; Hansen, Winslow D; Hantson, Stijn; Harvey, Brian J; Holz, Andrés; Huang, Tao; Hurteau, Matthew D; Ilangakoon, Nayani T; Jennings, Megan; Jones, Charles; Klimaszewski-Patterson, Anna; Kobziar, Leda N; Kominoski, John; Kosovic, Branko; Krawchuk, Meg A; Laris, Paul; Leonard, Jackson; Loria-Salazar, S Marcela; Lucash, Melissa; Mahmoud, Hussam; Margolis, Ellis; Maxwell, Toby; McCarty, Jessica L; McWethy, David B; Meyer, Rachel S; Miesel, Jessica R; Moser, W Keith; Nagy, R Chelsea; Niyogi, Dev; Palmer, Hannah M; Pellegrini, Adam; Poulter, Benjamin; Robertson, Kevin; Rocha, Adrian V; Sadegh, Mojtaba; Santos, Fernanda; Scordo, Facundo; Sexton, Joseph O; Sharma, A Surjalal; Smith, Alistair M S; Soja, Amber J; Still, Christopher; Swetnam, Tyson; Syphard, Alexandra D; Tingley, Morgan W; Tohidi, Ali; Trugman, Anna T; Turetsky, Merritt; Varner, J Morgan; Wang, Yuhang; Whitman, Thea; Yelenik, Stephanie; Zhang, Xuan","Reimagine fire science for the anthropocene","PNAS Nexus","","2752-6542","10.1093/pnasnexus/pgac115","https://academic.oup.com/pnasnexus/article/doi/10.1093/pnasnexus/pgac115/6655931","Fire is an integral component of ecosystems globally and a tool that humans have harnessed for millennia. Altered fire regimes are a fundamental cause and consequence of global change, impacting people and the biophysical systems on which they depend. As part of the newly emerging Anthropocene, marked by human-caused climate change and radical changes to ecosystems, fire danger is increasing, and fires are having increasingly devastating impacts on human health, infrastructure, and ecosystem services. Increasing fire danger is a vexing problem that requires deep transdisciplinary, trans-sector, and inclusive partnerships to address. Here, we outline barriers and opportunities in the next generation of fire science and provide guidance for investment in future research. We synthesize insights needed to better address the long-standing challenges of innovation across disciplines to (i) promote coordinated research efforts; (ii) embrace different ways of knowing and knowledge generation; (iii) promote exploration of fundamental science; (iv) capitalize on the “firehose” of data for societal benefit; and (v) integrate human and natural systems into models across multiple scales. Fire science is thus at a critical transitional moment. We need to shift from observation and modeled representations of varying components of climate, people, vegetation, and fire to more integrative and predictive approaches that support pathways toward mitigating and adapting to our increasingly flammable world, including the utilization of fire for human safety and benefit. Only through overcoming institutional silos and accessing knowledge across diverse communities can we effectively undertake research that improves outcomes in our more fiery future.","2022-08-19","2022-09-13 01:49:31","2022-09-13 01:49:31","2022-09-13 01:49:31","pgac115","","3","1","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\guer310\Zotero\storage\DPXAUWA9\Shuman et al. - 2022 - Reimagine fire science for the anthropocene.pdf","","","","Nelson, Karen E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5WDCKM5D","journalArticle","2020","McLauchlan, Kendra K.; Higuera, Philip E.; Miesel, Jessica; Rogers, Brendan M.; Schweitzer, Jennifer; Shuman, Jacquelyn K.; Tepley, Alan J.; Varner, J. Morgan; Veblen, Thomas T.; Adalsteinsson, Solny A.; Balch, Jennifer K.; Baker, Patrick; Batllori, Enric; Bigio, Erica; Brando, Paulo; Cattau, Megan; Chipman, Melissa L.; Coen, Janice; Crandall, Raelene; Daniels, Lori; Enright, Neal; Gross, Wendy S.; Harvey, Brian J.; Hatten, Jeff A.; Hermann, Sharon; Hewitt, Rebecca E.; Kobziar, Leda N.; Landesmann, Jennifer B.; Loranty, Michael M.; Maezumi, S. Yoshi; Mearns, Linda; Moritz, Max; Myers, Jonathan A.; Pausas, Juli G.; Pellegrini, Adam F. A.; Platt, William J.; Roozeboom, Jennifer; Safford, Hugh; Santos, Fernanda; Scheller, Robert M.; Sherriff, Rosemary L.; Smith, Kevin G.; Smith, Melinda D.; Watts, Adam C.","Fire as a fundamental ecological process: Research advances and frontiers","Journal of Ecology","","1365-2745","10.1111/1365-2745.13403","https://onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13403","Fire is a powerful ecological and evolutionary force that regulates organismal traits, population sizes, species interactions, community composition, carbon and nutrient cycling and ecosystem function. It also presents a rapidly growing societal challenge, due to both increasingly destructive wildfires and fire exclusion in fire-dependent ecosystems. As an ecological process, fire integrates complex feedbacks among biological, social and geophysical processes, requiring coordination across several fields and scales of study. Here, we describe the diversity of ways in which fire operates as a fundamental ecological and evolutionary process on Earth. We explore research priorities in six categories of fire ecology: (a) characteristics of fire regimes, (b) changing fire regimes, (c) fire effects on above-ground ecology, (d) fire effects on below-ground ecology, (e) fire behaviour and (f) fire ecology modelling. We identify three emergent themes: the need to study fire across temporal scales, to assess the mechanisms underlying a variety of ecological feedbacks involving fire and to improve representation of fire in a range of modelling contexts. Synthesis: As fire regimes and our relationships with fire continue to change, prioritizing these research areas will facilitate understanding of the ecological causes and consequences of future fires and rethinking fire management alternatives.","2020","2022-09-13 01:53:22","2022-09-13 01:53:22","2022-09-13 01:53:22","2047-2069","","5","108","","","Fire as a fundamental ecological process","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2745.13403","","C:\Users\guer310\Zotero\storage\ULED2LC2\McLauchlan et al. - 2020 - Fire as a fundamental ecological process Research.pdf; C:\Users\guer310\Zotero\storage\DD8ZG6PB\McLauchlan_etal_review version.pdf; C:\Users\guer310\Zotero\storage\JCSPUZHI\1365-2745.html","","","climate; Earth System models; fire regime; fuels; plant traits; prescribed fire; vegetation; wildfire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R2T3JGBX","journalArticle","2021","Bianchi, Thomas S.; Anand, Madhur; Bauch, Chris T.; Canfield, Donald E.; De Meester, Luc; Fennel, Katja; Groffman, Peter M.; Pace, Michael L.; Saito, Mak; Simpson, Myrna J.","Ideas and perspectives: Biogeochemistry – some key foci for the future","Biogeosciences","","1726-4170","10.5194/bg-18-3005-2021","https://bg.copernicus.org/articles/18/3005/2021/","<p><strong class=""journal-contentHeaderColor"">Abstract.</strong> Biogeochemistry has an important role to play in many environmental issues of current concern related to global change and air, water, and soil quality. However, reliable predictions and tangible implementation of solutions, offered by biogeochemistry, will need further integration of disciplines. Here, we refocus on how further developing and strengthening ties between biology, geology, chemistry, and social sciences will advance biogeochemistry through (1) better incorporation of mechanisms, including contemporary evolutionary adaptation, to predict changing biogeochemical cycles, and (2) implementing new and developing insights from social sciences to better understand how sustainable and equitable responses by society are achieved. The challenges for biogeochemists in the 21st century are formidable and will require both the capacity to respond fast to pressing issues (e.g., catastrophic weather events and pandemics) and intense collaboration with government officials, the public, and internationally funded programs. Keys to success will be the degree to which biogeochemistry can make biogeochemical knowledge more available to policy makers and educators about predicting future changes in the biosphere, on timescales from seasons to centuries, in response to climate change and other anthropogenic impacts. Biogeochemistry also has a place in facilitating sustainable and equitable responses by society.</p>","2021-05-19","2022-09-27 23:13:18","2022-09-27 23:13:18","2022-09-27 23:13:18","3005-3013","","10","18","","","Ideas and perspectives","","","","","","","English","","","","","bg.copernicus.org","","Publisher: Copernicus GmbH","","C:\Users\guer310\Zotero\storage\ZBHPTR29\Bianchi et al. - 2021 - Ideas and perspectives Biogeochemistry – some key.pdf; C:\Users\guer310\Zotero\storage\PEBC4TB7\2021.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NLBG56V4","journalArticle","2022","Reilly, Matthew J.; Zuspan, Aaron; Halofsky, Joshua S.; Raymond, Crystal; McEvoy, Andy; Dye, Alex W.; Donato, Daniel C.; Kim, John B.; Potter, Brian E.; Walker, Nathan; Davis, Raymond J.; Dunn, Christopher J.; Bell, David M.; Gregory, Matthew J.; Johnston, James D.; Harvey, Brian J.; Halofsky, Jessica E.; Kerns, Becky K.","Cascadia Burning: The historic, but not historically unprecedented, 2020 wildfires in the Pacific Northwest, USA","Ecosphere","","2150-8925","10.1002/ecs2.4070","https://onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.4070","Wildfires devastated communities in Oregon and Washington in September 2020, burning almost as much forest west of the Cascade Mountain crest (“the westside”) in 2 weeks ( 340,000 ha) as in the previous five decades ( 406,00 ha). Unlike dry forests of the interior western United States, temperate rain forests of the Pacific Northwest have experienced limited recent fire activity, and debates surrounding what drove the 2020 fires, and management strategies to adapt to similar future events, necessitate a scientific evaluation of the fires. We evaluate five questions regarding the 2020 Labor Day fires: (1) How do the 2020 fires compare with historical fires? (2) How did the roles of weather and antecedent climate differ geographically and from the recent past (1979–2019)? (3) How do fire size and severity compare to other recent fires (1985–2019), and how did forest management and prefire forest structure influence burn severity? (4) What impact will these fires have on westside landscapes? and (5) How can we adapt to similar fires in the future? Although 5 of the 2020 fires were much larger than any others in the recent past and burned 10 times the area in high-severity patches >10,000 ha, the 2020 fires were remarkably consistent with historical fires. Reports from the early 1900s, along with paleo- and dendro-ecological records, indicate similar and potentially even larger wildfires over the past millennium, many of which shared similar seasonality (late August/early September), weather conditions, and even geographic locations. Consistent with the largest historical fires, strong east winds and anomalously dry conditions drove the rapid spread of high-severity wildfire in 2020. We found minimal difference in burn severity among stand structural types related to previous management in the 2020 fires. Adaptation strategies for similar fires in the future could benefit by focusing on ignition prevention, fire suppression, and community preparedness, as opposed to fuel treatments that are unlikely to mitigate fire severity during extreme weather. While scientific uncertainties remain regarding the nature of infrequent, high-severity fires in westside forests, particularly under climate change, adapting to their future occurrence will require different strategies than those in interior, dry forests.","2022","2022-10-10 19:51:05","2022-10-10 19:51:05","2022-10-10 19:51:05","e4070","","6","13","","","Cascadia Burning","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.4070","","C:\Users\guer310\Zotero\storage\DHGDIRMM\Reilly et al. - 2022 - Cascadia Burning The historic, but not historical.pdf; C:\Users\guer310\Zotero\storage\P7AN8ZWK\ecs2.html","","","2020 Labor Day fires; dry; east wind; fuel management; high-severity fire; moist forests; western Cascades","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U95U29ZB","journalArticle","2023","Raoelison, Onja D.; Valenca, Renan; Lee, Allison; Karim, Samiha; Webster, Jackson P.; Poulin, Brett A.; Mohanty, Sanjay K.","Wildfire impacts on surface water quality parameters: Cause of data variability and reporting needs","Environmental Pollution","","0269-7491","10.1016/j.envpol.2022.120713","https://www.sciencedirect.com/science/article/pii/S0269749122019273","Surface runoff mobilizes the burned residues and ashes produced during wildfires and deposits them in surface waters, thereby deteriorating water quality. A lack of a consistent reporting protocol precludes a quantitative understanding of how and to what extent wildfire may affect the water quality of surface waters. This study aims to analyze reported pre- and post-fire water quality data to inform the data reporting and highlight research opportunities. A comparison of the pre-and post-fire water quality data from 44 studies reveals that wildfire could increase the concentration of many pollutants by two orders of magnitude. However, the concentration increase is sensitive to when the sample was taken after the wildfire, the wildfire burned area, discharge rate in the surface water bodies where samples were collected, and pollutant type. Increases in burned areas disproportionally increased total suspended solids (TSS) concentration, indicating TSS concentration is dependent on the source area. Increases in surface water flow up to 10 m3 s−1 increased TSS concentration but any further increase in flow rate decreased TSS concentration, potentially due to dilution. Nutrients and suspended solids concentrations increase within a year after the wildfire, whereas peaks for heavy metals occur after 1–2 years of wildfire, indicating a delay in the leaching of heavy metals compared to nutrients from wildfire-affected areas. The concentration of polycyclic aromatic hydrocarbons (PAHs) was greatest within a year post-fire but did not exceed the surface water quality limits. The analysis also revealed inconsistency in the existing sampling protocols and provides a guideline for a modified protocol along with highlighting new research opportunities. Overall, this study underlines the need for consistent reporting of post-fire water quality data along with environmental factors that could affect the data so that the post-fire water quality can be assessed or compared between studies.","2023-01-15","2022-11-28 15:53:52","2022-11-28 15:53:52","2022-11-28 15:53:52","120713","","","317","","Environmental Pollution","Wildfire impacts on surface water quality parameters","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\guer310\Zotero\storage\8YBCGS97\Raoelison et al. - 2023 - Wildfire impacts on surface water quality paramete.pdf; C:\Users\guer310\Zotero\storage\6MXUFV2D\S0269749122019273.html","","","Burned area; Climate change; Flow rate; Post-fire water quality; Sampling protocol; Sampling time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QC4IND2D","journalArticle","2015","Santín, Cristina; Doerr, Stefan H.; Preston, Caroline M.; González-Rodríguez, Gil","Pyrogenic organic matter production from wildfires: a missing sink in the global carbon cycle","Global Change Biology","","1365-2486","10.1111/gcb.12800","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.12800","Wildfires release substantial quantities of carbon (C) into the atmosphere but they also convert part of the burnt biomass into pyrogenic organic matter (PyOM). This is richer in C and, overall, more resistant to environmental degradation than the original biomass, and, therefore, PyOM production is an efficient mechanism for C sequestration. The magnitude of this C sink, however, remains poorly quantified, and current production estimates, which suggest that 1-5% of the C affected by fire is converted to PyOM, are based on incomplete inventories. Here, we quantify, for the first time, the complete range of PyOM components found in-situ immediately after a typical boreal forest fire. We utilized an experimental high-intensity crown fire in a jack pine forest (Pinus banksiana) and carried out a detailed pre- and postfire inventory and quantification of all fuel components, and the PyOM (i.e., all visually charred, blackened materials) produced in each of them. Our results show that, overall, 27.6% of the C affected by fire was retained in PyOM (4.8 ± 0.8 t C ha−1), rather than emitted to the atmosphere (12.6 ± 4.5 t C ha−1). The conversion rates varied substantially between fuel components. For down wood and bark, over half of the C affected was converted to PyOM, whereas for forest floor it was only one quarter, and less than a tenth for needles. If the overall conversion rate found here were applicable to boreal wildfire in general, it would translate into a PyOM production of 100 Tg C yr−1 by wildfire in the global boreal regions, more than five times the amount estimated previously. Our findings suggest that PyOM production from boreal wildfires, and potentially also from other fire-prone ecosystems, may have been underestimated and that its quantitative importance as a C sink warrants its inclusion in the global C budget estimates.","2015","2022-11-30 22:34:49","2022-11-30 22:34:49","2022-11-30 22:34:49","1621-1633","","4","21","","","Pyrogenic organic matter production from wildfires","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/gcb.12800","","C:\Users\guer310\Zotero\storage\Z6FHZKMW\Santín et al. - 2015 - Pyrogenic organic matter production from wildfires.pdf; C:\Users\guer310\Zotero\storage\R4VJ4NH4\gcb.html","","","biochar; black carbon; boreal forest; carbon emissions; charcoal; firesmart experimental fire; pyrogenic carbon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M4QNYRWI","journalArticle","2016","Cotrufo, M. Francesca; Boot, Claudia; Abiven, Samuel; Foster, Erika J.; Haddix, Michelle; Reisser, Moritz; Wurster, Christopher M.; Bird, Michael I.; Schmidt, Michael W. I.","Quantification of pyrogenic carbon in the environment: An integration of analytical approaches","Organic Geochemistry","","0146-6380","10.1016/j.orggeochem.2016.07.007","https://www.sciencedirect.com/science/article/pii/S0146638016301073","Pyrogenic carbon (PyC), the product of incomplete combustion of biomass during fire, is now recognized as a significant component of the global carbon cycle. However, quantitative determination of PyC is challenging, in particular at a large scale. We conducted a comparison of three methods for PyC analysis: benzene polycarboxylic acid (BPCA) method, hydrogen pyrolysis (hypy) and mid infrared spectroscopy (MIR) to identify a suitable approach for the determination of PyC at large geographical scales and across different environmental matrices. We analyzed samples (n=165) derived from a variety of matrices (i.e. forest floor, soils, sediments and char), most of which were collected in the natural environment after fire. BPCA and hypy PyC estimates correlated linearly (R2 between 0.74 and 0.92), thus suggesting that they can be merged in larger scale PyC syntheses. However, the slope of the regression varied among different matrices, ranging between 0.1 and 0.44, likely due to differences in the degree of aromatic condensation. MIR coupled with partial least-squares regression (MIR-PLSR) was demonstrated to be a powerful tool for estimating PyC across a variety of environmental matrices, with high throughput and low analytical cost in comparison with the other two PyC analytical methods. Furthermore, we obtained accurate calibrations for MIR-PLSR from the hypy and the BPCA method, the latter in particular for soil samples. We thus conclude that PyC estimates at large geographical scales and across different environmental matrices can be obtained from MIR-PLSR, previous calibration with hypy or BPCA, for matrices for which the PyC yields are known.","2016-10-01","2022-11-30 22:37:28","2022-11-30 22:37:28","2022-11-30 22:37:28","42-50","","","100","","Organic Geochemistry","Quantification of pyrogenic carbon in the environment","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\guer310\Zotero\storage\BX7M53E2\Cotrufo et al. - 2016 - Quantification of pyrogenic carbon in the environm.pdf; C:\Users\guer310\Zotero\storage\GNWAW4JI\S0146638016301073.html","","","Benzene Polycarboxylic Acids; Black carbon; Fire; Hydrogen pyrolysis; Mid Infrared Spectroscopy; Pyrogenic carbon; Sediments; Soils","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85TQ2EBM","journalArticle","2006","Rillig, Matthias C.; Mummey, Daniel L.","Mycorrhizas and soil structure","New Phytologist","","1469-8137","10.1111/j.1469-8137.2006.01750.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.2006.01750.x","In addition to their well-recognized roles in plant nutrition and communities, mycorrhizas can influence the key ecosystem process of soil aggregation. Here we review the contribution of mycorrhizas, mostly focused on arbuscular mycorrhizal fungi (AMF), to soil structure at various hierarchical levels: plant community; individual root; and the soil mycelium. There are a suite of mechanisms by which mycorrhizal fungi can influence soil aggregation at each of these various scales. By extension of these mechanisms to the question of fungal diversity, it is recognized that different species or communities of fungi can promote soil aggregation to different degrees. We argue that soil aggregation should be included in a more complete ‘multifunctional’ perspective of mycorrhizal ecology, and that in-depth understanding of mycorrhizas/soil process relationships will require analyses emphasizing feedbacks between soil structure and mycorrhizas, rather than a uni-directional approach simply addressing mycorrhizal effects on soils. We finish the discussion by highlighting new tools, developments and foci that will probably be crucial in further understanding mycorrhizal contributions to soil structure. Contents Summary 41 I. Introduction 42 II. How mycorrhizal fungi can influence soil aggregation at various scales 42 III. Effects of fungal mycelium: a mechanistic discussion 44 IV. Role of fungal diversity 48 V. Emerging foci, new directions and tools 49 VI. Conclusions 50 Acknowledgements 50 References 50","2006","2022-11-30 23:14:47","2022-11-30 23:14:47","2022-11-30 23:14:47","41-53","","1","171","","","","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.2006.01750.x","","C:\Users\guer310\Zotero\storage\WVQXVEXU\Rillig and Mummey - 2006 - Mycorrhizas and soil structure.pdf; C:\Users\guer310\Zotero\storage\S63CRNGY\j.1469-8137.2006.01750.html","","","soil structure; arbuscular mycorrhizas (AM); glomalin-related soil protein; hydrophobins; microaggregate; plant and microbial communities; root system; soil mycelium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CSLWTJIT","journalArticle","2021","Guo, Jing; Zhang, Yuxiu; Huang, Hai; Yang, Fan","Deciphering soil bacterial community structure in subsidence area caused by underground coal mining in arid and semiarid area","Applied Soil Ecology","","0929-1393","10.1016/j.apsoil.2021.103916","https://www.sciencedirect.com/science/article/pii/S0929139321000378","Subsidence caused by underground coal mining results in soil degradation. However, little is known about bacterial community structure and its response to a 1-year-old coal mining subsidence area in arid and semiarid areas northwest China. Soil samples from 5 unexplored areas (MC, RC, YC, LC and ZC) and a 1-year-old subsidence area above a coal working face were collected and soil biogeochemical properties and bacterial community structure were determined. Results showed electrical conductivity (EC), soil water content (SWC), soil organic carbon (SOC), total nitrogen (TN), total phosphorus (TP), dissolved organic carbon (DOC), available nitrogen (AN), available phosphorus (AP) and available potassium (AK) decreased with depth. The microbial biomass carbon (MBC), microbial biomass nitrogen (MBN) and the activity of β-1,4-glucosidase (BG), β-1,4-N-acetylglucosaminidase (NAG), alkaline phosphatase (PP) and catalase (CAT) were also reduced. The nutrients, BG, PP and MBC in subsidence of marginal zone of a coal working face were significantly lower than those in control, suggesting subsidence led to a loss in nutrients and a reduction in microbial biomass. High-throughput sequencing revealed that the Sphingomonas, Gemmatimonas, Pseudomonas and Gp6, involved in C and N nutrient cycles, were dominant in this region. The relative abundances of Sphingomonas, Pseudomonas and Arthrobacter were decreased in subsidence due to the nutrient leakage and microbial biomass reduction. The predicted abundances of genes for metabolisms of xenobiotics via cytochrome P450 pathways and nitrogen were low in marginal zone, while peroxidase was high, indicating low capacities of degrading for xenobiotics and polycyclic aromatic hydrocarbons (PAHs) occurred marginal zone, while resistance to hydrogen peroxide was strengthened. Redundancy analysis (RDA) revealed EC, SWC and soil depth governed bacterial community structure. Overall, subsidence caused losses in soil water, nutrients and microbial biomass, alteration of bacterial community structure, and ultimately reduced soil nutrient conversion. Therefore, the cracks in the subsidence area should be filled manually in time, especially in marginal zone.","2021-07-01","2022-11-30 23:20:31","2022-11-30 23:20:31","2022-11-30 23:20:31","103916","","","163","","Applied Soil Ecology","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\guer310\Zotero\storage\YKUTUFLF\Guo et al. - 2021 - Deciphering soil bacterial community structure in .pdf; C:\Users\guer310\Zotero\storage\WICTN495\S0929139321000378.html","","","Bacterial community; Coal mining subsidence; Illumina MiSeq sequencing; Soil biogeochemical properties","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WEYKVWCH","journalArticle","2018","Blankinship, Joseph C.; Berhe, Asmeret Asefaw; Crow, Susan E.; Druhan, Jennifer L.; Heckman, Katherine A.; Keiluweit, Marco; Lawrence, Corey R.; Marín-Spiotta, Erika; Plante, Alain F.; Rasmussen, Craig; Schädel, Christina; Schimel, Joshua P.; Sierra, Carlos A.; Thompson, Aaron; Wagai, Rota; Wieder, William R.","Improving understanding of soil organic matter dynamics by triangulating theories, measurements, and models","Biogeochemistry","","1573-515X","10.1007/s10533-018-0478-2","https://doi.org/10.1007/s10533-018-0478-2","Soil organic matter (SOM) turnover increasingly is conceptualized as a tension between accessibility to microorganisms and protection from decomposition via physical and chemical association with minerals in emerging soil biogeochemical theory. Yet, these components are missing from the original mathematical models of belowground carbon dynamics and remain underrepresented in more recent compartmental models that separate SOM into discrete pools with differing turnover times. Thus, a gap currently exists between the emergent understanding of SOM dynamics and our ability to improve terrestrial biogeochemical projections that rely on the existing models. In this opinion paper, we portray the SOM paradigm as a triangle composed of three nodes: conceptual theory, analytical measurement, and numerical models. In successful approaches, we contend that the nodes are connected—models capture the essential features of dominant theories while measurement tools generate data adequate to parameterize and evaluate the models—and balanced—models can inspire new theories via emergent behaviors, pushing empiricists to devise new measurements. Many exciting advances recently pushed the boundaries on one or more nodes. However, newly integrated triangles have yet to coalesce. We conclude that our ability to incorporate mechanisms of microbial decomposition and physicochemical protection into predictions of SOM change is limited by current disconnections and imbalances among theory, measurement, and modeling. Opportunities to reintegrate the three components of the SOM paradigm exist by carefully considering their linkages and feedbacks at specific scales of observation.","2018-08-01","2022-12-01 01:27:21","2022-12-01 01:27:21","2022-12-01 01:27:21","1-13","","1","140","","Biogeochemistry","","","","","","","","en","","","","","Springer Link","","","","C:\Users\guer310\Zotero\storage\48JZ29VW\Blankinship et al. - 2018 - Improving understanding of soil organic matter dyn.pdf","","","Biogeochemical models; Carbon stabilization; Decomposition; Global carbon cycle; Soil organic matter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
